TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T139,C4325284,16/3/87,M,MUMBAI,22771.72,4/8/16,165239,530.6
T140,C8430783,13/12/87,F,GHAZIABAD,20594.64,4/8/16,164042,555.0
T141,C6419838,25/11/90,M,MUMBAI,22880.95,4/8/16,164042,5757.0
T142,C2442760,21/2/85,F,GHAZIABAD,35790.14,4/8/16,182453,777.0
T143,C5236621,24/10/96,M,JAIPUR,45299.78,4/8/16,181251,2124.0
T144,C7226281,17/6/84,M,HYDERABAD,1551.84,4/8/16,155250,20.0
T145,C2635440,16/1/32,M,MUMBAI,228872.29,4/8/16,160124,405.52
T146,C5940325,24/8/94,M,SAHARANPUR,43555.69,4/8/16,160125,355.0
T147,C1272724,29/6/82,M,CHANDIGARH,4402.08,9/8/16,224655,245.0
T148,C5034425,9/11/89,M,DELHI,54033.57,9/8/16,25955,360.0
T149,C1011359,5/6/94,M,CHENNAI,179.99,9/8/16,30619,955.0
T150,C6324674,22/9/91,M,PUNE,29436.97,9/8/16,1532,70.0
T151,C8737387,3/8/89,M,GURGAON,12010.4,9/8/16,225034,299.0
T152,C3334638,1/1/1800,M,PUNE,700.0,9/8/16,24912,1500.0
T153,C7917762,21/1/85,F,BANGALORE,43375.42,9/8/16,24933,1986.5
T154,C8037570,20/6/90,M,MUMBAI,8111.52,4/8/16,200859,1274.0
T155,C6322261,14/9/87,M,ALLAHABAD,4311.29,4/8/16,201344,149.0
T156,C6943550,11/10/87,M,COMPLEX GURGAON,2495.98,4/8/16,201543,110.0
T157,C8520931,26/4/59,M,PUNE,156103.2,4/8/16,201736,2297.0
T158,C7742540,6/9/79,M,PUNE,2502.37,4/8/16,195951,170.0
T159,C7231945,9/5/92,M,MUMBAI,12.97,4/8/16,200151,101.0
T160,C7530036,2/2/79,F,GURGAON,20892.73,9/8/16,44802,1665.0
T161,C2837736,31/12/89,M,PARK PHASE-I HINJEWADI PUNE,191276.9,9/8/16,110837,217.0
T162,C1268950,15/6/91,F,MUMBAI,21756.67,9/8/16,93907,500.0
T163,C7410760,1/1/88,M,GULBARGA,5.37,9/8/16,94603,1020.0
T164,C7840374,1/1/1800,M,GHAZIABAD,24824.83,9/8/16,115520,5000.0
T165,C2215655,11/3/90,M,GURGAON,171.65,9/8/16,115655,300.0
T166,C5054958,2/12/86,F,KANPUR,5391.22,9/8/16,120616,1800.0
T167,C8695466,3/1/93,M,NAVI MUMBAI,43571.2,9/8/16,172155,2074.0
T168,C1437248,22/7/93,F,GURGAON,116584.57,9/8/16,172158,210.0
T169,C8891737,8/7/91,M,NEW DELHI,51694.63,9/8/16,173007,100.0
T170,C6125425,6/10/91,M,MUMBAI,119.47,9/8/16,172927,500.0
T171,C4023754,23/4/96,M,VISAKHAPATNAM,0.74,12/8/16,83107,100.0
T172,C4332787,29/9/90,F,NEW DELHI,63972.18,12/8/16,83118,451.0
T173,C5220931,30/1/90,F,HYDERABAD,9526.7,12/8/16,90104,100.0
T174,C1840488,29/4/89,F,DELHI,75889.12,12/8/16,82319,599.0
T175,C2918640,16/5/89,M,HISAR,41319.3,12/8/16,122132,825.0
T176,C8214849,14/5/90,M,LUCKNOW,8.49,12/8/16,121534,80.0
T177,C5698953,1/1/1800,,NAVI MUMBAI,8512.28,12/8/16,155727,3449.0
T178,C5710590,21/9/80,M,AHMEDABAD,3042.12,12/8/16,155835,2830.5
T179,C4631217,25/8/96,F,HYDERABAD,27940.79,12/8/16,154412,1328.72
T180,C4829664,1/1/81,M,GURGAON,190073.86,12/8/16,171658,50.0
T181,C8934869,22/8/92,M,MUMBAI,10074.33,12/8/16,55127,8.99
T182,C4834518,22/1/88,F,FORT MUMBAI,8179.54,12/8/16,182331,456.0
T183,C1638021,1/1/1800,M,NEW DELHI,9702.54,12/8/16,185134,2580.0
T184,C5523764,21/9/79,M,PATHANKOT,11.98,12/8/16,182656,2117.0
T185,C1315664,11/2/92,F,SUNDARGARH,4597.56,8/8/16,183949,64.0
T186,C8231241,19/6/89,M,NEW DELHI,407935.95,8/8/16,184034,500.0
T187,C6323747,10/8/88,M,DELHI,556731.79,8/8/16,184232,26991.0
T188,C4742524,25/4/86,M,MARGAO,22660.58,8/8/16,203329,851.0
T189,C7537492,28/11/81,M,NAVI MUMBAI,5738.43,8/8/16,194326,600.0
T190,C1516222,17/4/88,M,DHULE,17449.33,8/8/16,194955,306.0
T191,C1931276,1/1/1800,M,MOHALI,114.92,8/8/16,215840,390.0
T192,C4138629,27/4/94,M,BANGALORE,0.7,8/8/16,220036,150.0
T193,C6417852,23/1/84,M,BANGALORE NORTH,26239.0,8/8/16,220542,380.0
T194,C4325361,1/1/1800,M,KOLKATA,133203.58,7/8/16,93946,100000.0
T195,C5633923,12/4/91,M,NOIDA,359.23,7/8/16,94712,60.0
T196,C1938713,10/1/67,M,LUCKNOW,268685.24,7/8/16,121356,1220.0
T197,C7512180,11/11/78,M,ZIRAKPUR,1130141.97,7/8/16,115829,614.0
T198,C3720487,27/9/75,M,JAIPUR,1223.92,7/8/16,115644,69.0
T199,C8380118,20/4/74,M,SURYAPET,28758.9,7/8/16,120943,980.0
T200,C5922155,24/7/88,M,BHIWANDI,10492.25,7/8/16,125130,148.0
T201,C2440683,15/9/92,M,DELHI,1123.68,7/8/16,125130,440.0
T202,C6297162,15/8/93,M,DELHI,4546.07,7/8/16,123126,148.0
T203,C6276018,19/8/89,F,HYDERABAD,104.57,7/8/16,123129,2134.4
T204,C6370750,8/4/80,M,THANE,33661.57,7/8/16,122857,496.07
T205,C7534237,4/9/85,M,RAJKOT,1133.27,7/8/16,144525,100.0
T206,C3881215,15/6/93,M,CHENNAI,4650.59,7/8/16,150344,192.0
T207,C7675278,1/1/1800,M,NOIDA,1867210.51,7/8/16,144436,137890.0
T208,C6814469,16/6/84,M,NOIDA,132699.5,7/8/16,170456,500.0
T209,C3135066,2/10/81,F,MUMBAI,28710.33,7/8/16,165130,127.8
T210,C1726754,23/2/88,M,BANGALORE,6130.16,7/8/16,165812,200.0
T211,C5067828,4/1/91,F,GHAZIABAD,46936.18,7/8/16,170103,5887.0
T212,C8121828,19/4/96,M,AMBEDKAR NAGAR,84.91,7/8/16,192751,88.0
T213,C8426486,1/7/89,F,CHENNAI,13279.12,7/8/16,193120,323.72
T214,C5117177,8/7/84,F,DELHI,85722.72,7/8/16,193122,1378.0
T215,C1719155,6/2/72,M,PURI,10.5,7/8/16,140123,1131.0
T216,C7931754,31/5/88,M,MUMBAI,108913.62,12/8/16,63631,500.0
T217,C7034179,13/12/85,F,BANGALORE,5117.84,12/8/16,63004,15.0
T218,C7212335,26/5/86,M,NAGAI DT,21457.34,12/8/16,55544,100.0
T219,C5413870,10/12/71,M,THANE,17920.6,21/10/16,153145,200.0
T220,C2435753,17/12/80,M,NEW DELHI,45812.85,21/10/16,153910,518.0
T221,C4830619,16/7/93,M,HYDERABAD,5795.3,21/10/16,110148,203.12
T222,C2880664,22/7/89,M,BANGALORE,76385.67,21/10/16,151926,1294.0
T223,C9022645,,M,BHIWANDI,1730.3,21/10/16,150814,4000.0
T224,C2213811,13/12/87,F,HYDERABAD,16431.3,21/10/16,165639,1119.0
T225,C7541566,21/12/92,M,CHITTO0R,2.87,21/10/16,165644,40.0
T226,C2429086,13/2/79,M,NEW DELHI,26413.93,21/10/16,165644,510.0
T227,C6918371,25/5/66,F,KERALA,801229.49,21/10/16,161925,1550.0
T228,C7527049,17/4/66,M,SURAT,5407.86,21/10/16,162705,149.0
T229,C6058483,4/6/90,M,GHINGHARTOLA TEH BAGESHWAR DIST,4044.37,21/10/16,162707,40.0
T230,C4456638,19/7/67,F,NEW DELHI,36278.83,21/10/16,160047,500.0
T231,C2811892,16/3/89,M,MUMBAI,344.25,21/10/16,160048,220.0
T232,C7823561,9/2/91,M,MUMBAI,3875.77,21/10/16,160125,30.0
T233,C6520033,12/3/89,M,MUMBAI,121747.74,21/10/16,152746,200.0
T234,C2110492,5/7/83,F,BANGALORE,40366.35,21/10/16,153030,4200.0
T235,C4217328,19/9/88,M,BANGALORE,15693.31,21/10/16,160043,200.0
T236,C6927275,10/11/86,M,CHENNAI,44164.97,21/10/16,151615,3142.0
T237,C2042372,24/8/85,F,NOIDA,121821.27,21/10/16,151650,1219.04
T238,C3727411,21/2/87,F,ROURKELA,167.1,21/10/16,150740,199.0
T239,C5136863,24/6/87,M,MUPPALLA GUNTUR,6209.42,21/10/16,170612,708.05
T240,C2434983,29/11/88,M,MUMBAI,930.8,21/10/16,165854,100.0
T241,C1626454,5/8/73,M,MUMBAI,25296.5,21/10/16,165639,2000.0
T242,C1316616,26/5/66,F,NEWDELHI,20422.76,21/10/16,155655,800.0
T243,C5042661,16/3/74,F,NEW DELHI,15147.88,21/10/16,153545,1000.0
T244,C4531588,31/10/93,F,DELHI,2257.58,21/10/16,145417,460.0
T245,C5528968,1/1/1800,M,PIPARIYA,5724.5,21/10/16,145424,4478.0
T246,C4814390,1/10/71,F,MIRA ROAD E,78122.46,21/10/16,150436,47290.0
T247,C6437438,22/5/83,F,BHUBANESHWAR,324551.5,21/10/16,151154,25000.0
T248,C8738676,1/1/1800,M,RAJPURA,362200.72,21/10/16,151251,53000.0
T249,C1812573,14/1/87,F,SAHARANPUR,41268.37,21/10/16,151201,35.0
T250,C8915718,26/6/86,F,PANCHKULA,22802.23,21/10/16,145515,100.0
T251,C5334280,20/8/74,M,ROURKELA,13996.1,21/10/16,155146,100.0
T252,C5920074,26/10/83,F,FARIDABAD,48587.19,21/10/16,150848,1595.0
T253,C1733292,4/11/89,M,CHENNAI,174684.91,21/10/16,150848,283.0
T254,C6230681,19/11/89,F,BANGALORE,7948.27,21/10/16,171343,68.0
T255,C1977592,30/10/93,M,JALANDHAR,155684.44,21/10/16,152514,3034.5
T256,C4418491,5/3/90,F,DELHI,17555.91,21/10/16,162522,110.0
T257,C5212180,18/3/86,F,MUMBAI,168034.54,21/10/16,161714,10.0
T258,C5227319,18/5/80,F,WEST MUMBAI,4459.73,21/10/16,152525,2870.0
T259,C9016392,24/8/90,M,DELHI,9236.65,21/10/16,164132,259.0
T260,C3531473,3/12/89,M,KOLKATA,13592.65,21/10/16,154628,1128.37
T261,C7340149,28/6/77,M,GWALIOR,134969.65,21/10/16,152653,2200.0
T262,C8091089,10/4/73,M,INDORE,7967.47,21/10/16,152237,330.0
T263,C7878838,1/1/1800,M,SECTOR 21 KHARGHAR NAVI MUMBAI,444234.73,21/10/16,145620,201.0
T264,C8917722,1/1/1800,M,GURGAON,16369.59,21/10/16,171139,30990.0
T265,C8627747,19/2/83,F,PUNE,9158.59,21/10/16,171417,899.0
T266,C5312019,23/4/94,M,MUMBAI,1318.31,21/10/16,152802,110.0
T267,C7621186,12/3/84,M,THANE,1629.89,21/10/16,160005,500.0
T268,C7832128,1/1/1800,F,PUNE,7211.41,21/10/16,155702,4740.0
T269,C8910280,17/7/91,M,NEW DELHI,17146.97,21/10/16,154907,200.0
T270,C2526046,7/1/88,F,KOLKATA,31369.53,21/10/16,151510,1735.0
T271,C2632615,18/2/99,M,BAGHPAT,10266.36,21/10/16,152328,327.0
T272,C2822770,1/1/1800,M,NEW DELHI,1426.19,21/10/16,152908,6652.72
T273,C8439216,6/4/93,M,GURGAON,10016.68,21/10/16,151032,412.65
T274,C6432618,12/8/87,M,BANGALORE,394220.21,21/10/16,151407,42.0
T275,C5310729,16/1/83,M,NOIDA,16475.24,21/10/16,154322,128.0
T276,C5741387,2/7/84,F,KOLKATA,56450.72,21/10/16,150740,722.0
T277,C6676689,2/5/83,F,BANGALORE,56736.02,21/10/16,162210,1488.0
T278,C7472456,17/3/92,F,BANGALORE,4341.39,21/10/16,145841,50.0
T279,C3117918,6/1/85,M,PUNE,181.22,21/10/16,170239,200.0
T280,C1837362,15/8/65,F,NEW DELHI,46278.49,21/10/16,153618,1300.0
T281,C1428060,27/6/86,M,NOIDA,38506.22,21/10/16,152918,610.0
T282,C7629962,18/5/82,F,RAJPURA,28012.42,21/10/16,153203,655.0
T283,C7921623,18/7/88,M,AMBALA,100780.55,21/10/16,153948,1203.0
T284,C5129934,17/5/85,F,ZONE WHITEFIELD BANGALORE,36724.28,21/10/16,151743,600.0
T285,C7327571,19/4/85,M,NEW DELHI,78479.33,21/10/16,163453,18.0
T286,C3460025,26/6/91,M,GORAKHPUR,28185.38,21/10/16,163704,1720.0
T287,C7812071,21/11/93,M,NEW DELHI,8585.51,21/10/16,150606,1150.0
T288,C1728525,16/3/91,M,MUMBAI,462.12,21/10/16,150850,2647.0
T289,C4636775,23/9/86,M,MOHALI,390.04,21/10/16,150850,567.0
T290,C3871476,12/9/86,F,DELHI,71403.21,21/10/16,151129,1000.0
T291,C5122418,10/10/85,M,CHENNAI,52608.41,21/10/16,151910,11364.0
T292,C8920230,2/8/72,M,GURGAON,30809.31,21/10/16,152114,350.0
T293,C4336382,19/7/78,M,GHAZIABAD,25419.25,21/10/16,171125,1890.0
T294,C7058034,6/3/92,F,CHENNAI,184680.72,21/10/16,150915,50.0
T295,C5411869,24/12/99,M,BARAMATI,7486.12,21/10/16,151037,1000.0
T296,C6952840,5/11/81,M,DELHI,63.58,21/10/16,165950,634.12
T297,C8732711,9/2/79,F,YAMUNANAGAR,82130.58,21/10/16,165100,1423.0
T298,C7421711,4/5/88,M,NEW DELHI,32511.6,21/10/16,155658,1870.0
T299,C3151961,10/1/87,M,NEW DELHI,7336.76,21/10/16,55209,50.0
T300,C7338641,24/7/82,M,GURGAON,60659.23,21/10/16,152729,2968.0
T301,C4318459,13/12/88,F,GHAZIABAD,25471.44,21/10/16,170828,620.0
T302,C7325318,7/3/87,M,MANGALORE,72118.89,21/10/16,155949,699.0
T303,C7136280,6/1/84,M,TALUK BANGALORE,133.8,21/10/16,155952,2400.0
T304,C4026349,1/1/1800,M,NEW DELHI,150501.26,21/10/16,150600,357.0
T305,C3418523,12/7/82,M,LUCKNOW,951.07,21/10/16,163142,21060.0
T306,C7118840,29/5/94,M,GUNTUR,5393.9,21/10/16,152024,45.0
T307,C9045422,13/6/87,M,FIROZABAD,96798.63,21/10/16,153044,550.0
T308,C2324371,9/11/41,M,PONDICHERRY,5950.17,21/10/16,153920,969.0
T309,C7119722,15/4/92,M,RAIGAD,9464.85,21/10/16,152550,30.0
T310,C4111528,20/1/96,M,BULANDSHAHR,342.98,21/10/16,152749,50.0
T311,C4241947,21/3/91,F,HYDERABAD,2540.13,21/10/16,152752,94.0
T312,C1851438,29/9/85,F,NEW DELHI,17907.01,21/10/16,153745,400.0
T313,C3537555,6/4/84,M,MUMBAI,9.57,21/10/16,153910,221.75
T314,C8046459,25/11/54,M,THRISSUR,137410.23,21/10/16,153048,36500.0
T315,C4637288,25/10/93,F,CHENNAI,812.53,21/10/16,150427,25.0
T316,C3126340,3/6/81,M,KOLKATA,177950.63,21/10/16,150431,865.0
T317,C7358678,27/4/70,M,MOHALI,5802.91,21/10/16,145900,695.0
T318,C6533711,8/2/92,M,PUNE,6090.05,21/10/16,145918,50.0
T319,C7229966,16/6/88,M,DELHI,17761.95,21/10/16,145520,600.0
T320,C8340771,13/9/89,F,BANGALORE,9643.67,21/10/16,164545,550.0
T321,C7412163,17/10/86,M,MUMBAI,43114.86,21/10/16,155721,2299.0
T322,C7077319,30/5/85,M,MOHALI,176012.36,21/10/16,154615,222.0
T323,C5113983,26/8/96,M,SONIPAT,10498.91,21/10/16,155125,2249.0
T324,C1842088,31/12/86,F,MUMBAI,179659.4,21/10/16,154626,999.0
T325,C5115757,29/5/75,M,BANGALORE,541701.53,21/10/16,154305,1512.75
T326,C2025386,1/1/1800,M,PANCHKULA,161886.6,21/10/16,152051,500.0
T327,C2831424,29/8/84,M,THANE,21700.36,21/10/16,170329,145.0
T328,C5141914,5/1/81,F,NEW DELHI,9372.35,21/10/16,161539,343.0
T329,C6842357,29/10/81,F,MUMBAI,55878.83,21/10/16,150852,6129.0
T330,C8732168,21/2/90,M,GUWAHATI,32.83,21/10/16,150854,50.0
T331,C8028147,16/8/90,M,DEWAS,9.68,21/10/16,203458,100.0
